"location_id";"state";"district";"market"
"cc92079c78d7e1bdd7049d0d88e2d4fd";"UNKNOWN";"JAUNPUR";"SHAHGANJ"
"8cea43bb2eeab93245becd5d82e36940";"MAHARASHTRA";"RAIGAD";"KARJAT(RAIGAD)"
"cb6009eca3abb0413bb6083e7c720a4d";"WEST BENGAL";"UNKNOWN";"UNKNOWN"
"93f1322bf6e73a8efef713e18754400b";"UNKNOWN";"MOGA";"DHARAMKOT"
"6a7eae830713c9de6cd513716cbbbcee";"UNKNOWN";"UNKNOWN";"UDAIPUR (F&V)"
"70aa5df770d289f51e4aef143abe3026";"MADHYA PRADESH";"INDORE";"SANWER"
"e23f2631adadf26e03551110406be5f1";"WEST BENGAL";"BIRBHUM";"RAMPURHAT"
"d8301ca6eb30a020877aed62b6b948bc";"MADHYA PRADESH";"MANDSAUR";"MANDSAUR"
"ae2c9b8499107046f9c3d7610940893f";"ORISSA";"NAYAGARH";"UNKNOWN"
"e1cdf7dc5632c94aa4e85edee7917f5d";"UNKNOWN";"UNKNOWN";"DHARI"
"739cd4f0766bf16848040dbdb259d97f";"NAN";"UNKNOWN";"PRATAPGARH"
"3643320fba3b69faf9a83c14b00469c5";"KERALA";"THIRUVANANTHAPURAM";"POTHENCODE"
"741cf4691d0ad43c233c1a20e768c981";"GUJARAT";"RAJKOT";"RAJKOT"
"bbd0a16c164490e61030167cf28c234f";"UTTAR PRADESH";"BASTI";"UNKNOWN"
"3985d14752b4b35c494d16958b9a3db3";"MADHYA PRADESH";"SHAJAPUR";"UNKNOWN"
"7beb6b9907d775eb1fa01e7be4a30b23";"UTTAR PRADESH";"GONDA";"NAWABGANJ"
"d7866f87f11982bb363267ee41383c04";"UTTAR PRADESH";"AGRA";"FATEHABAD"
"ba1554d6860b013f1af224626e536902";"JAMMU & KASHMIR";"UNKNOWN";"UDHAMPUR"
"ff998b9c1ba22c3118b81220d32d47a3";"UNKNOWN";"UNKNOWN";"GARH SHANKAR"
"27a2910dfdfa5f6a7c6841aec42d72bf";"RAJASTHAN";"BHILWARA";"UNKNOWN"
